instance	class	skos	ontology	ontology vann:namespace
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#mylog1	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#Entry	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#ALL	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#ALL	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#Level	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#DEBUG	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#DEBUG	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#Level	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#ERROR	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#ERROR	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#Level	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#FATAL	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#FATAL	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#Level	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#INFO	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#INFO	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#Level	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#OFF	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#OFF	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#Level	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#TRACE	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#TRACE	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#Level	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#WARN	http://www.w3.org/2002/07/owl#NamedIndividual	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#WARN	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#Level	0	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#	http://persistence.uni-leipzig.org/nlp2rdf/ontologies/rlog#
